スコア,精神的要求（Mental Demand）,身体的要求（Physical Demand）,時間的要求（Temporal Demand）,努力度（Effort）,成果満足度（Performance）,フラストレーション（Frustration）
0,全く思考を必要としなかった,座っていた／動作なし,時間に追われる感覚はなかった,全く努力を必要としなかった,完璧だった／これ以上望めない,全くイライラしなかった
1,簡単な判断が時々必要だった,椅子から立ち上がった程度,ゆったりとした余裕のある日だった,ほとんど自動的にこなせた,非常に満足な結果だった,非常に穏やかだった
2,単純作業の中に少し思考を伴った,軽い移動（部屋内）,少しだけ時間を意識した,少しの集中でこなせた,ほぼ想定通りに進んだ,少しだけ不快なことがあった
3,短時間だけ集中力を使った,数分間の立ち作業,区切りのある行動が増えてきた,やや注意を向ける必要があった,多少のずれはあったが合格点,やや我慢を強いられた
4,軽度の知的作業だった,散歩レベルの移動を伴った,若干の忙しさがあった,意識的な集中を要した,可もなく不可もなく,時々ストレスを感じた
5,ある程度の集中を要した,軽作業や移動中心で軽い疲労,適度にタスクをこなす時間意識があった,集中や工夫が求められた,まずまずだった,軽度の苛立ちを自覚した
6,判断・思考の頻度が上がった,筋肉にやや張りを感じた,やや急ぎながら作業した,行動をコントロールしながら努力した,やや期待に届かなかった,イライラを自分で抑える場面があった
7,抽象的な思考や記憶が必要だった,長時間立って体に重さを感じた,時間配分に常に注意が必要だった,複数の工夫を重ねて対応した,失敗を強く意識した,明確な怒りや焦りがあった
8,高度な集中を長時間維持した,筋肉痛・だるさが残る運動,焦りを感じながらの行動が増えた,疲労を感じながらなんとか維持した,自分の実力を出せなかった,精神的に波があり乱れた
9,絶え間ない判断・記憶・注意を要した,一部の関節に痛みが出るほどの負荷,常に急かされている感覚があった,限界ぎりぎりの集中が必要だった,大幅な失敗と感じた,非常に強い苛立ちが継続した
10,極度な精神集中を強いられ疲労困憊した,身体的に限界を感じた／強い倦怠感,時間に完全に追い詰められていた,全力を出し切っても追いつけなかった,成果が得られず極めて不満足だった,怒りや自己嫌悪が制御不能だった
そういえばstreamlitではgifは画像として表示されてしまったような失敗の記憶があります。文字コードにして処理するために、gifを一括でtxtにエンコードするコードをお願いできますか？